source,test_id,family,headline,p_value,family_size,family_bh_q,family_holm_p,family_bh_reject,family_holm_reject,overall_size,overall_bh_q,overall_holm_p,overall_bh_reject,overall_holm_reject,description
rq3_realloop,rq3.v1.collision_mcnemar.calib13x.cv.single,rq3_v1_collision_mcnemar_ctrl,False,0.0625,14,0.175,0.6875,False,False,117,0.10299295774647887,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, calib13x vs replay (cv/single; discordant pairs 0+5)"
rq3_realloop,rq3.v1.reactivity_sign.calib13x.cv.robust,rq3_v1_reactivity_ctrl,False,0.557197093963623,18,1.0,1.0,False,False,117,0.6150194339032443,1.0,False,False,"Paired per-encounter sign test: calib13x SFM arm vs replay reference, same-time min separation (cv/robust, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.reactivity_sign.calib13x.lstm.single,rq3_v1_reactivity_ctrl,False,0.557197093963623,18,1.0,1.0,False,False,117,0.6150194339032443,1.0,False,False,"Paired per-encounter sign test: calib13x SFM arm vs replay reference, same-time min separation (lstm/single, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.collision_mcnemar.calib13x.lstm.single,rq3_v1_collision_mcnemar_ctrl,False,0.125,14,0.175,1.0,False,False,117,0.18409090909090897,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, calib13x vs replay (lstm/single; discordant pairs 0+4)"
rq3_realloop,rq3.v1.reactivity_sign.calib13x.lstm.robust,rq3_v1_reactivity_ctrl,False,0.32693958282470703,18,1.0,1.0,False,False,117,0.41578186076620355,1.0,False,False,"Paired per-encounter sign test: calib13x SFM arm vs replay reference, same-time min separation (lstm/robust, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.reactivity_sign.calib13x.sgan.single,rq3_v1_reactivity_ctrl,False,0.32693958282470703,18,1.0,1.0,False,False,117,0.41578186076620355,1.0,False,False,"Paired per-encounter sign test: calib13x SFM arm vs replay reference, same-time min separation (sgan/single, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.collision_mcnemar.calib13x.sgan.single,rq3_v1_collision_mcnemar_ctrl,False,0.125,14,0.175,1.0,False,False,117,0.18409090909090897,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, calib13x vs replay (sgan/single; discordant pairs 0+4)"
rq3_realloop,rq3.v1.reactivity_sign.calib13x.sgan.robust,rq3_v1_reactivity_ctrl,False,0.8450189828872681,18,1.0,1.0,False,False,117,0.8906956846649582,1.0,False,False,"Paired per-encounter sign test: calib13x SFM arm vs replay reference, same-time min separation (sgan/robust, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.collision_mcnemar.calib13x.sgan.robust,rq3_v1_collision_mcnemar_ctrl,False,0.5,14,0.5384615384615384,1.0,False,False,117,0.5792079207920792,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, calib13x vs replay (sgan/robust; discordant pairs 0+2)"
rq3_realloop,rq3.v3.robust_gain_sign.replay.cv,rq3_v3_robust_real,False,,2,,,False,False,117,,,False,False,"Paired per-encounter sign test: robust vs true-single min separation within the replay arm (cv, n=26)"
rq3_realloop,rq3.v3.robust_gain_sign.replay.lstm,rq3_v3_robust_real,False,0.00048828125,2,0.00048828125,0.0009765625,True,True,117,0.00146484375,0.0390625,True,True,"Paired per-encounter sign test: robust vs true-single min separation within the replay arm (lstm, n=26)"
rq3_realloop,rq3.v3.robust_gain_sign.replay.sgan,rq3_v3_robust_real,False,0.00048828125,2,0.00048828125,0.0009765625,True,True,117,0.00146484375,0.0390625,True,True,"Paired per-encounter sign test: robust vs true-single min separation within the replay arm (sgan, n=26)"
rq3_realloop,rq3.v3.robust_gain_sign.calib.cv,rq3_v3_robust_real_ctrl,False,,8,,,False,False,117,,,False,False,"Paired per-encounter sign test: robust vs true-single min separation within the calib SFM arm (cv, n=26)"
rq3_realloop,rq3.v3.robust_gain_sign.calib.lstm,rq3_v3_robust_real_ctrl,False,3.5881996154785156e-05,8,9.568532307942708e-05,0.0002511739730834961,True,True,117,0.00020990967750549315,0.0035523176193237305,True,True,"Paired per-encounter sign test: robust vs true-single min separation within the calib SFM arm (lstm, n=26)"
rq3_realloop,rq3.v3.robust_gain_sign.calib.sgan,rq3_v3_robust_real_ctrl,False,0.0008554458618164062,8,0.001140594482421875,0.0025663375854492188,True,True,117,0.0024411503861590128,0.06586933135986328,True,False,"Paired per-encounter sign test: robust vs true-single min separation within the calib SFM arm (sgan, n=26)"
rq3_realloop,rq3.v3.robust_gain_sign.avec.cv,rq3_v3_robust_real_ctrl,False,,8,,,False,False,117,,,False,False,"Paired per-encounter sign test: robust vs true-single min separation within the avec SFM arm (cv, n=26)"
rq3_realloop,rq3.v3.robust_gain_sign.avec.lstm,rq3_v3_robust_real_ctrl,False,3.5881996154785156e-05,8,9.568532307942708e-05,0.0002511739730834961,True,True,117,0.00020990967750549315,0.0035523176193237305,True,True,"Paired per-encounter sign test: robust vs true-single min separation within the avec SFM arm (lstm, n=26)"
rq3_realloop,rq3.v3.robust_gain_sign.avec.sgan,rq3_v3_robust_real_ctrl,False,0.00012111663818359375,8,0.00019378662109375002,0.0006055831909179688,True,True,117,0.0005200013581944986,0.011470598793700177,True,True,"Paired per-encounter sign test: robust vs true-single min separation within the avec SFM arm (sgan, n=26)"
rq3_realloop,rq3.v3.robust_gain_sign.norep.cv,rq3_v3_robust_real_ctrl,False,,8,,,False,False,117,,,False,False,"Paired per-encounter sign test: robust vs true-single min separation within the norep SFM arm (cv, n=26)"
